"REGION","MONTH.YEAR","VALUE"
"South.Australia...Trend","Jun-15",107706.1
"South.Australia...Trend","Jul-15",107543.3
"South.Australia...Trend","Aug-15",107526.7
"South.Australia...Trend","Sep-15",107620.2
"South.Australia...Trend","Oct-15",107776.7
"South.Australia...Trend","Nov-15",107965.2
"South.Australia...Trend","Dec-15",108142.5
"South.Australia...Trend","Jan-16",108234.8
"South.Australia...Trend","Feb-16",108214.7
"South.Australia...Trend","Mar-16",108119
"South.Australia...Trend","Apr-16",107996.5
"South.Australia...Trend","May-16",107914.8
"South.Australia...Trend","Jun-16",107974.8
"South.Australia...Trend","Jul-16",108211.9
"South.Australia...Trend","Aug-16",108650
"South.Australia...Trend","Sep-16",109218
"South.Australia...Trend","Oct-16",109746.8
"South.Australia...Trend","Nov-16",110146.7
"South.Australia...Trend","Dec-16",110393
"South.Australia...Trend","Jan-17",110534.7
"South.Australia...Trend","Feb-17",110667.7
"South.Australia...Trend","Mar-17",110851.2
"South.Australia...Trend","Apr-17",111137.3
"South.Australia...Trend","May-17",111512.4
"South.Australia...Trend","Jun-17",111918.4
"South.Australia...Trend","Jul-17",112267.6
"South.Australia...Trend","Aug-17",112484.4
"South.Australia...Trend","Sep-17",112569.7
"South.Australia...Trend","Oct-17",112600.3
"South.Australia...Trend","Nov-17",112614.8
"South.Australia...Trend","Dec-17",112653.1
"South.Australia...Trend","Jan-18",112746
"South.Australia...Trend","Feb-18",112892.3
"South.Australia...Trend","Mar-18",113102.4
"South.Australia...Trend","Apr-18",113325.6
"South.Australia...Trend","May-18",113534.2
"South.Australia...Trend","Jun-18",113738.5
"South.Australia...Trend","Jul-18",113938.6
"South.Australia...Trend","Aug-18",114127.1
"South.Australia...Trend","Sep-18",114266
"South.Australia...Trend","Oct-18",114400.4
"South.Australia...Trend","Nov-18",114608.2
"South.Australia...Trend","Dec-18",114931.3
"South.Australia...Trend","Jan-19",115334.8
"South.Australia...Trend","Feb-19",115749.7
"South.Australia...Trend","Mar-19",116051
"South.Australia...Trend","Apr-19",116187.4
"South.Australia...Trend","May-19",116128.4
"South.Australia...Trend","Jun-19",115870.2
"South.Australia...Trend","Jul-19",115515.3
"South.Australia...Trend","Aug-19",115162.8
"South.Australia...Trend","Sep-19",114886.9
"South.Australia...Trend","Oct-19",114743.4
"South.Australia...Trend","Nov-19",114670.2
"South.Australia...Trend","Dec-19",114610.5
"South.Australia...Trend","Jan-20",114543.8
"South.Australia...Trend","Feb-20",114418.2
"South.Australia...Trend","Mar-20",114259.6
"South.Australia...Trend","Apr-20",103738.9
"South.Australia...Trend","May-20",103783.3
"South.Australia...Trend","Jun-20",104080.4
"South.Australia...Trend","Jul-20",110805.2
"South.Australia...Trend","Aug-20",111651.3
"South.Australia...Trend","Sep-20",112646.6
"South.Australia...Trend","Oct-20",113660.2
"South.Australia...Trend","Nov-20",114599.6
"South.Australia...Trend","Dec-20",115413.4
"South.Australia...Trend","Jan-21",116020.1
"South.Australia...Trend","Feb-21",116450.3
"South.Australia...Trend","Mar-21",116818.7
"South.Australia...Trend","Apr-21",117214.1
"South.Australia...Trend","May-21",117712.3
"South.Australia...Trend","Jun-21",118334.8
"South.Australia...Trend","Jul-21",119032.7
"South.Australia...Trend","Aug-21",119711.2
"South.Australia...Trend","Sep-21",120221.5
"South.Australia...Trend","Oct-21",120523.9
"South.Australia...Trend","Nov-21",120570.1
"South.Australia...Trend","Dec-21",120383.4
"South.Australia...Trend","Jan-22",120109.9
"South.Australia...Trend","Feb-22",119825.5
"South.Australia...Trend","Mar-22",119618.7
"South.Australia...Trend","Apr-22",119576.6
"South.Australia...Trend","May-22",119787.5
"South.Australia...Trend","Jun-22",120239.1
"South.Australia...Trend","Jul-22",120833.8
"South.Australia...Trend","Aug-22",121465.3
"South.Australia...Trend","Sep-22",122063.7
"South.Australia...Trend","Oct-22",122668.5
"South.Australia...Trend","Nov-22",123295.7
"South.Australia...Trend","Dec-22",124017.4
"South.Australia...Trend","Jan-23",124861.8
"South.Australia...Trend","Feb-23",125765.5
"South.Australia...Trend","Mar-23",126601.6
"South.Australia...Trend","Apr-23",127163
"South.Australia...Trend","May-23",127392.3
"South.Australia...Trend","Jun-23",127300.3
"South.Australia...Trend","Jul-23",126967.1
"South.Australia...Trend","Aug-23",126493.9
"South.Australia...Trend","Sep-23",125950.3
"South.Australia...Trend","Oct-23",125412
"South.Australia...Trend","Nov-23",124926.3
"South.Australia...Trend","Dec-23",124502.1
"South.Australia...Trend","Jan-24",124108.6
"South.Australia...Trend","Feb-24",123783.5
"South.Australia...Trend","Mar-24",123573.4
"South.Australia...Trend","Apr-24",123470.7
"South.Australia...Trend","May-24",123452.1
"South.Australia...Trend","Jun-24",123518.1
"South.Australia...Trend","Jul-24",123648.5
"South.Australia...Trend","Aug-24",123826.9
"Western.Australia...Trend","Jan-14",186724
"Western.Australia...Trend","Feb-14",186947.4
"Western.Australia...Trend","Mar-14",187311.2
"Western.Australia...Trend","Apr-14",187709.1
"Western.Australia...Trend","May-14",188109.4
"Western.Australia...Trend","Jun-14",188554.3
"Western.Australia...Trend","Jul-14",189012.8
"Western.Australia...Trend","Aug-14",189449.5
"Western.Australia...Trend","Sep-14",189828
"Western.Australia...Trend","Oct-14",189998.1
"Western.Australia...Trend","Nov-14",190008.8
"Western.Australia...Trend","Dec-14",190035
"Western.Australia...Trend","Jan-15",190108.4
"Western.Australia...Trend","Feb-15",190155.2
"Western.Australia...Trend","Mar-15",190118.8
"Western.Australia...Trend","Apr-15",189912.2
"Western.Australia...Trend","May-15",189478.9
"Western.Australia...Trend","Jun-15",188739.5
"Western.Australia...Trend","Jul-15",187685.3
"Western.Australia...Trend","Aug-15",186482.5
"Western.Australia...Trend","Sep-15",185364.8
"Western.Australia...Trend","Oct-15",184594.8
"Western.Australia...Trend","Nov-15",184164.7
"Western.Australia...Trend","Dec-15",183831.3
"Western.Australia...Trend","Jan-16",183440
"Western.Australia...Trend","Feb-16",182887.5
"Western.Australia...Trend","Mar-16",182179
"Western.Australia...Trend","Apr-16",181340.8
"Western.Australia...Trend","May-16",180468.3
"Western.Australia...Trend","Jun-16",179726.1
"Western.Australia...Trend","Jul-16",179286.5
"Western.Australia...Trend","Aug-16",179260.9
"Western.Australia...Trend","Sep-16",179648
"Western.Australia...Trend","Oct-16",180480.2
"Western.Australia...Trend","Nov-16",181675.9
"Western.Australia...Trend","Dec-16",183031.9
"Western.Australia...Trend","Jan-17",184260.2
"Western.Australia...Trend","Feb-17",185254
"Western.Australia...Trend","Mar-17",186004.2
"Western.Australia...Trend","Apr-17",186621
"Western.Australia...Trend","May-17",187270.3
"Western.Australia...Trend","Jun-17",187985
"Western.Australia...Trend","Jul-17",188716.5
"Western.Australia...Trend","Aug-17",189292.2
"Western.Australia...Trend","Sep-17",189530
"Western.Australia...Trend","Oct-17",189342
"Western.Australia...Trend","Nov-17",188806.9
"Western.Australia...Trend","Dec-17",188201.9
"Western.Australia...Trend","Jan-18",187816.2
"Western.Australia...Trend","Feb-18",187869.4
"Western.Australia...Trend","Mar-18",188377.3
"Western.Australia...Trend","Apr-18",189172.1
"Western.Australia...Trend","May-18",189982.2
"Western.Australia...Trend","Jun-18",190701.9
"Western.Australia...Trend","Jul-18",191277.6
"Western.Australia...Trend","Aug-18",191718
"Western.Australia...Trend","Sep-18",191989.5
"Western.Australia...Trend","Oct-18",192150.5
"Western.Australia...Trend","Nov-18",192337.8
"Western.Australia...Trend","Dec-18",192656.5
"Western.Australia...Trend","Jan-19",193129.3
"Western.Australia...Trend","Feb-19",193769.6
"Western.Australia...Trend","Mar-19",194624.3
"Western.Australia...Trend","Apr-19",195509
"Western.Australia...Trend","May-19",196256.2
"Western.Australia...Trend","Jun-19",196716.1
"Western.Australia...Trend","Jul-19",196759.7
"Western.Australia...Trend","Aug-19",196567.4
"Western.Australia...Trend","Sep-19",196275
"Western.Australia...Trend","Oct-19",196015.5
"Western.Australia...Trend","Nov-19",195855.6
"Western.Australia...Trend","Dec-19",195938.3
"Western.Australia...Trend","Jan-20",196379
"Western.Australia...Trend","Feb-20",197144
"Western.Australia...Trend","Mar-20",198129.9
"Western.Australia...Trend","Apr-20",179053.3
"Western.Australia...Trend","May-20",179795.6
"Western.Australia...Trend","Jun-20",180391
"Western.Australia...Trend","Jul-20",193674.5
"Western.Australia...Trend","Aug-20",194349.1
"Western.Australia...Trend","Sep-20",194966.6
"Western.Australia...Trend","Oct-20",195580.8
"Western.Australia...Trend","Nov-20",196017.7
"Western.Australia...Trend","Dec-20",196270.8
"Western.Australia...Trend","Jan-21",196503.4
"Western.Australia...Trend","Feb-21",196905.2
"Western.Australia...Trend","Mar-21",197660.8
"Western.Australia...Trend","Apr-21",198883
"Western.Australia...Trend","May-21",200483.5
"Western.Australia...Trend","Jun-21",202055.7
"Western.Australia...Trend","Jul-21",203358
"Western.Australia...Trend","Aug-21",204378.4
"Western.Australia...Trend","Sep-21",205156.7
"Western.Australia...Trend","Oct-21",205822.8
"Western.Australia...Trend","Nov-21",206534.3
"Western.Australia...Trend","Dec-21",207326.2
"Western.Australia...Trend","Jan-22",207958.2
"Western.Australia...Trend","Feb-22",208365.8
"Western.Australia...Trend","Mar-22",208564.2
"Western.Australia...Trend","Apr-22",208540.8
"Western.Australia...Trend","May-22",208535.2
"Western.Australia...Trend","Jun-22",208843.6
"Western.Australia...Trend","Jul-22",209537
"Western.Australia...Trend","Aug-22",210578.8
"Western.Australia...Trend","Sep-22",211962
"Western.Australia...Trend","Oct-22",213591.3
"Western.Australia...Trend","Nov-22",215272.6
"Western.Australia...Trend","Dec-22",216889.6
"Western.Australia...Trend","Jan-23",218366.6
"Western.Australia...Trend","Feb-23",219626.3
"Western.Australia...Trend","Mar-23",220582.3
"Western.Australia...Trend","Apr-23",221254.9
"Western.Australia...Trend","May-23",221571
"Western.Australia...Trend","Jun-23",221547
"Western.Australia...Trend","Jul-23",221317.9
"Western.Australia...Trend","Aug-23",220966.9
"Western.Australia...Trend","Sep-23",220560.7
"Western.Australia...Trend","Oct-23",220274.5
"Western.Australia...Trend","Nov-23",220238.4
"Western.Australia...Trend","Dec-23",220435.1
"Western.Australia...Trend","Jan-24",220856.1
"Western.Australia...Trend","Feb-24",221429.2
"Western.Australia...Trend","Mar-24",222166.6
"Western.Australia...Trend","Apr-24",223095.3
